# Urhobo Tone-Marked Reference Lexicon (v1.0)
# Canonical Africanist Tone System:
#   High (H): acute accent (´) -> e.g. á, é, ẹ́, í, ó, ọ́, ú
#   Low (L): grave accent (`) -> e.g. à, è, ẹ̀, ì, ò, ọ̀, ù
#   Rising (LH): caron (ˇ) -> e.g. ǎ, ǐ, ǒ
#   Falling (HL): circumflex (ˆ) -> e.g. â, ô
#   Mid / Neutral (M): unmarked vowel -> e.g. a, e, ẹ, i, o, ọ, u
# Orthographic vowels: a, e, ẹ (U+1EB9), i, o, ọ (U+1ECD), u
# Columns: plain_form	canonical_tone_form	gloss_en	pos	source_ids	agreement	needs_review	reviewed
plain_form	canonical_tone_form	gloss_en	pos	source_ids	agreement	needs_review	reviewed
a	A	Letter A / sound /a/ [Curriculum: alphabet]	phr.	curriculum_seed	False	False	True
a dẹ ayẹ	a dɛ́ ayɛ̃	they are bought	phr.	ucla_phonetics	False	True	False
a dẹ wẹ	a dɛ́ wɛ́	you (sg.) are bought	phr.	ucla_phonetics	False	True	False
abaka	abaka	grasshopper / Grasshopper	n.	okrokoto_2020,ukere_1986	True	False	True
abamwa	Abamwa	Rag  ;   torn  piece  of  cloth	n.	okrokoto_2020	False	True	False
abavo	abavo	equal	a.	ukere_1986	False	True	False
abe	Abe	A   species  of  water  yam  with   red	n.	okrokoto_2020	False	True	False
abe	Abe	Guilty   verdict	n.	okrokoto_2020	False	True	False
abe	abé	guilt (in a case or law-suit)	n.	ukere_1986	False	True	False
abemuo	abémuó	wrestling	n.	ukere_1986	False	True	False
aberha	abérha	thrice	adv.	ukere_1986	False	True	False
abivẹ	abívẹ	twice	adv.	ukere_1986	False	True	False
abo	Abo	Wrestling. Also  means   HANDS - plural  form	n.	okrokoto_2020	False	True	False
abotu	Abotu	Group  effort	n.	okrokoto_2020	False	True	False
abẹrẹn	abẹrẹn	sword	n.	ukere_1986	False	True	False
ada	ada	outing / Outing ; out from  home  :  Kpẹ  ada  =  gone	n.	okrokoto_2020,ukere_1986	True	False	True
ada	áda	forked stick	n.	ukere_1986	False	True	False
aderha	adérha	three-way junction	n.	ukere_1986	False	True	False
adie	ádié	position/part	n.	ukere_1986	False	True	False
adja	Adja	Bat	n.	okrokoto_2020	False	True	False
adjan	aɟnã́ (does not sound nasal)	bat	n.	ucla_phonetics,ukere_1986	False	True	False
adjaọghẹnẹ	adjaọ́ghẹnẹ́	swallow	n.	ukere_1986	False	True	False
adjeghwọghwọ	ádjeghwọghwọ	camphor	n.	ukere_1986	False	True	False
adjene	adjené	self acclaimed witch or wizard	n.	ukere_1986	False	True	False
adjudju	adjudju	fan / Hand-held  fan  usually   made from  animal skin	n.	okrokoto_2020,ukere_1986	True	False	True
adjugẹ	adjugẹ	wheel	n.	ukere_1986	False	True	False
adjọkrotẹgba	ádjọkrótẹgba	pants	n.	ukere_1986	False	True	False
afe	áfe	menstruation	n.	ukere_1986	False	True	False
afiedjọ	áfiédjọ	masquerade playground	n.	ukere_1986	False	True	False
afieha	áfiéha	stadium, playground	n.	ukere_1986	False	True	False
afiotọ	afiotọ	rabbit / Giant  African  rabbit	n.	okrokoto_2020,ukere_1986	True	False	True
afọrhe	afọrhe	brain / Brain	n.	okrokoto_2020,ukere_1986	True	False	True
agada	agada	crotch, area between the legs	n.	ukere_1986	False	True	False
agba	agbá	oil bean seed	n.	ukere_1986	False	True	False
agbada	agbada	bridge / Bridge	n.	okrokoto_2020,ukere_1986	True	False	True
agbadarizobo	agbadarizobo	altar	n.	ukere_1986	False	True	False
agbagba	agbagba	cross / Cross	n.	okrokoto_2020,ukere_1986	True	False	True
agbakara	agbakara	raffia and oil-palm beetle	n.	ukere_1986	False	True	False
agbara	agbara	chair / Chair	n.	okrokoto_2020,ukere_1986	True	False	True
agbariko	Agbariko	King  fisher	n.	okrokoto_2020	False	True	False
agbogu	agbogu	dagger / Dagger	n.	okrokoto_2020,ukere_1986	True	False	True
agboro	agboro	echo / Radio ;  echo	n.	okrokoto_2020,ukere_1986	True	False	True
agbotọ	Agbotọ	Jaw	n.	okrokoto_2020	False	True	False
agbotọ	agbótọ	chin	n.	ukere_1986	False	True	False
agbrara	agbrara	thunder	n.	ukere_1986	False	True	False
agbuna	agbuna	matches / Matches	n.	okrokoto_2020,ukere_1986	True	False	True
agbọn	agbọn	placenta	n.	ukere_1986	False	True	False
agha	aɣá	broom	n.	ucla_phonetics	False	True	False
aghan	aghán	broom	n.	ukere_1986	False	True	False
aghighọn	aghighọn	chain of coral beads worn round the neck by chiefs	n.	ukere_1986	False	True	False
aghwa	ághwá	bush / forest / field [Curriculum: object]	n.	curriculum_seed,ukere_1986	True	False	True
aghwaghwa	aghwaghwa	bush dog / Bush  dog ( a  nocturnal,  tree  climbing  animal  )	n.	okrokoto_2020,ukere_1986	True	False	True
aghware	aghware	wisdom	n.	ukere_1986	False	True	False
aghwoghwo	aghwoghwo	announcement / Announcement	n.	okrokoto_2020,ukere_1986	True	False	True
aghwọn	aghwọn	‘hamster’ [N.B. there are no hamsters in Nigeria. Perhaps a bush-rat?]	n.	ukere_1986	False	True	False
aghọghọ	aghọghọ	joy/happiness	n.	ukere_1986	False	True	False
agh	Agh	Branch	n.	okrokoto_2020	False	True	False
aghgh	Aghgh	Joy	n.	okrokoto_2020	False	True	False
agogo	ágógó	gong, bell / Bell ; Gong	n.	okrokoto_2020,ukere_1986	False	True	False
aguare	aguare	court	n.	ukere_1986	False	True	False
agọ	agọ	camp, temporary settlement	n.	ukere_1986	False	True	False
aha  !	Aha  !	A   shout   of  surprise	n.	okrokoto_2020	False	True	False
ahanre	Ahanre	Lower deck  of  fireplace  platform.	n.	okrokoto_2020	False	True	False
ahe	áhe	owl-like bird / Night  owl	n.	okrokoto_2020,ukere_1986	False	True	False
ahwa	Ahwa	A  beaked  non climbing  giant  squirrel	n.	okrokoto_2020	False	True	False
ahwa	ahwa	pliers	n.	ukere_1986	False	True	False
ahworhẹ	ahworhẹ	sponge	n.	ukere_1986	False	True	False
ahọnre	ahọnre	sound of snoring	n.	ukere_1986	False	True	False
aka	aka	Urhobo name for the Edo (Bini) people and their language / Edo  people  from  southern  Nigeria	n.	okrokoto_2020,ukere_1986	True	False	True
aka	Áká	Bitter  kola	n.	okrokoto_2020	False	True	False
akaba	akaba	specie of gong	n.	ukere_1986	False	True	False
akainọrọ	akaínọrọ	snake monitor	n.	ukere_1986	False	True	False
akan	ákán	bitter kola	n.	ukere_1986	False	True	False
akara	akara	bean-cake	n.	ukere_1986	False	True	False
akaunọrọ	Akaunọrọ	Lizard	n.	okrokoto_2020	False	True	False
akikọ	akikọ́	water-snail	n.	ukere_1986	False	True	False
ako	Ako	Tooth	n.	okrokoto_2020	False	True	False
akobẹ	akobẹ	metal trap used for catching small animals such as rats	n.	ukere_1986	False	True	False
akon	akõ	tooth	n.	ucla_phonetics	False	True	False
akoriruo	akoríruo	office	n.	ukere_1986	False	True	False
akoroda	Akoroda	Cutlass  sheath.	n.	okrokoto_2020	False	True	False
akpakpa	Akpãkpa	Mat   woven  out  of  palm  branch back	n.	okrokoto_2020	False	True	False
akpakpasimagha	akpakpasímagha	scorpion / Scorpion	n.	okrokoto_2020,ukere_1986	False	True	False
akpan	akpan	baldness, bald head	n.	ukere_1986	False	True	False
akpanurhe	Akpanurhe	Local  Low  seat	n.	okrokoto_2020	False	True	False
akpanurhe	ákpánurhé	stool	n.	ukere_1986	False	True	False
akpata	ákpátá	mouth-organ, organ	n.	ukere_1986	False	True	False
akperẹ	Àkpérẹ̀	Bull   horn	n.	okrokoto_2020	False	True	False
akpeyere	akpéyéré	way of life	n.	ukere_1986	False	True	False
akpine	Akpine	Lead  singer	n.	okrokoto_2020	False	True	False
akpono	Akpono	Plastic   beads  for    female  fashion.	n.	okrokoto_2020	False	True	False
akpono	akpóno	very flat bead made from rubber or palm kernel shells	n.	ukere_1986	False	True	False
akpọ	akpọ	world, earth	n.	ucla_phonetics	False	True	False
akpẹ	Akpẹ	Padlock  ; Bird’s  gizzard ; container of items	n.	okrokoto_2020	False	True	False
akpẹriọ	akpẹ́riọ	enjoyment	n.	ukere_1986	False	True	False
akpẹrusiavwrẹ	akpẹ́rusiavwrẹ	padlock	n.	ukere_1986	False	True	False
akpẹrẹ	Akpẹrẹ	Basket	n.	okrokoto_2020	False	True	False
akpẹrẹ	akpẹ́rẹ	elephant tusk horn	n.	ukere_1986	False	True	False
akpẹtẹ	Akpẹtẹ	Chief  cook  ;  cook	n.	okrokoto_2020	False	True	False
akpẹvwẹ	ákpẹvwẹ	thanksgiving	n.	ukere_1986	False	True	False
akpọ	akpọ́	world / life [Curriculum: object]	n.	curriculum_seed,okrokoto_2020,ukere_1986	True	False	True
akrẹ	akrẹ	small lizard	n.	ukere_1986	False	True	False
akuakua	akuakua	wooden slit-gong	n.	ukere_1986	False	True	False
ama	ama	bell	n.	ukere_1986	False	True	False
amakashe	ámakáshe	angel	n.	ukere_1986	False	True	False
ame	amé	water [Curriculum: object]	n.	curriculum_seed,grammar_basic_course,okrokoto_2020,ucla_phonetics,ukere_1986	True	False	True
amereka	amereka	locally brewed gin, ogogoro	n.	ukere_1986	False	True	False
amerisaguẹ	amerísaguẹ	groundnut oil	n.	ukere_1986	False	True	False
ameọbe	ameọ́be	ink	n.	ukere_1986	False	True	False
amiedi	amiédi	banga soup / Palm  oil  soup	n.	okrokoto_2020,ukere_1986	False	True	False
amioviẹ	amióviẹ	tears	n.	ukere_1986	False	True	False
amirika	Amirika	Ethanol ; drinkable  alcohol .	n.	okrokoto_2020	False	True	False
amono	amóno	who (coll.)	int.	ukere_1986	False	True	False
amradjẹ	ámrádjẹ	charm for protection against the dead	n.	ukere_1986	False	True	False
amwa	aŋmá	cloth	n.	ucla_phonetics,ukere_1986	False	True	False
an	án	exclamation of disbelief, shock or surprise, also used for questioning.	excl.	ukere_1986	False	True	False
anama	Anama	Show   off  ; stylish  ; proud	n.	okrokoto_2020	False	True	False
anama	anama	pride	n.	ukere_1986	False	True	False
ane	ané	April	n.	ukere_1986	False	True	False
aniku	anikú	lower wrapper (of the two) worn by women	n.	ukere_1986	False	True	False
anini	áníní	old coin, originally a tenth of a penny	n.	ukere_1986	False	True	False
anurhoro	Anurhoro	Entrance  to  a  house  or  room  ; doorway	n.	okrokoto_2020	False	True	False
apata	Apata	Unauthorized  release  of  someone  else’s	n.	okrokoto_2020	False	True	False
apene	apene	draughts	n.	ukere_1986	False	True	False
aphia	aphíá	knife / cutlass [Curriculum: object]	n.	curriculum_seed,okrokoto_2020,ukere_1986	True	False	True
aphopho	Aphopho	Breeze	n.	okrokoto_2020	False	True	False
apia, aphia	àɸyá	knife	phr.	ucla_phonetics	False	True	False
apiapia	ápiápiá	hornbill	n.	ukere_1986	False	True	False
aranto	Aranto	Small  ant  hill  with  a  hat-like  top  cover.	n.	okrokoto_2020	False	True	False
are	Are	Razor  blade  ( also  known  as  Erakivẹ̣̣   )	n.	okrokoto_2020	False	True	False
areba	areba	very poisonous seed / A  poisonous wild  garden  egg  plant .	n.	okrokoto_2020,ukere_1986	True	False	True
arere	arere	baby louse	n.	ukere_1986	False	True	False
arha	arhá	March	n.	ukere_1986	False	True	False
arhare	arhare	forehead / Forehead	n.	okrokoto_2020,ukere_1986	True	False	True
arhuẹrẹ	árhuẹrẹ	development	n.	ukere_1986	False	True	False
arhọ	arhọ	salvation	n.	ukere_1986	False	True	False
arhọghọ	árhọ́ghọ	contribution / Contribution	n.	okrokoto_2020,ukere_1986	False	True	False
arhọvwefe	árhọvwefe	special bead worn on the neck like a bow-tie by traditional rulers	n.	ukere_1986	False	True	False
arh	Arh	Salvation  ;     Having   life	n.	okrokoto_2020	False	True	False
ariakpa	áriákpa	charm for protection against any poisonous thing taken in by mouth	n.	ukere_1986	False	True	False
arido	arido	charm for sharp remembrance/knowledge	n.	ukere_1986	False	True	False
arirhiri	Arirhiri	Tortoise; name   indicative  of  its  crafty  behavior.	n.	okrokoto_2020	False	True	False
ariri	árírí	fishing net / Fish  net	n.	okrokoto_2020,ukere_1986	False	True	False
arodọvwẹ	Arodọvwẹ	Pity ; Mercy	n.	okrokoto_2020	False	True	False
aruerivwi	aruérivwi	designated spot where traditional rites are offered to the ancestors	n.	ukere_1986	False	True	False
aruvwẹ	Aruvwẹ	Dawn  ;  daylight  period.	n.	okrokoto_2020	False	True	False
aruẹdọ	aruẹdọ	mercy	n.	ukere_1986	False	True	False
aruẹmrẹ	aruẹmrẹ	prophesy	n.	ukere_1986	False	True	False
asa	Asa	place / Place	n.	grammar_basic_course,okrokoto_2020,ukere_1986	True	False	True
asa	Asá	bird with red beak that bores hole in the pit / A bird's name	n.	grammar_basic_course,ukere_1986	True	False	True
asadaveravwe	asadáveravwe	abattoir	n.	ukere_1986	False	True	False
asakuẹ	Asakuẹ	Multiplied  by .	n.	okrokoto_2020	False	True	False
asan	asán	June	n.	ukere_1986	False	True	False
ase	asé	acquittal / Non  guilty  verdict  ;  Acquittal	n.	okrokoto_2020,ukere_1986	True	False	True
aseje	aseje	everywhere	n.	ukere_1986	False	True	False
asen	asén	odd	a.	ukere_1986	False	True	False
asiweri	ásiweri	mamba	n.	ukere_1986	False	True	False
aso	aso	night / Night	n.	okrokoto_2020,ukere_1986	True	False	True
ason	asón	night / darkness [Curriculum: object]	n.	curriculum_seed	False	False	True
atamu	atámu	charm for effective balance	n.	ukere_1986	False	True	False
atanẹ	atánẹ	it is said	exp.	ukere_1986	False	True	False
atarhe	Atarhe	Pre- destination	n.	okrokoto_2020	False	True	False
atarhọvwe	átárhọvwe	charm for easy acceptance/answer	n.	ukere_1986	False	True	False
atikprere	atikprere	rumour monger	n.	ukere_1986	False	True	False
ato	Ato	Desert	n.	grammar_basic_course,okrokoto_2020	True	False	True
ato	Ató	chewing stick / Chewing   stick. / Chewing stick	n.	grammar_basic_course,okrokoto_2020,ukere_1986	True	False	True
aton	aton	savanna	n.	ukere_1986	False	True	False
atẹtẹ	Atẹtẹ	A  seller/hawker’s  ware  display  platform	n.	okrokoto_2020	False	True	False
atẹtẹ	atẹtẹ	tray, flat basin (made locally from a plant called éti)	n.	ukere_1986	False	True	False
ava	avá	February	n.	ukere_1986	False	True	False
aviavwe	áviávwe	armpit	n.	ukere_1986	False	True	False
avwanre	avwanre	we / us [Curriculum: pronoun]	pron.	curriculum_seed	False	False	True
avware	avware	wide area with collection of ponds	n.	ukere_1986	False	True	False
avware	avwáre	we	pron.	ukere_1986	False	True	False
avwarhe	ávwárhé	charm for lightness	n.	ukere_1986	False	True	False
avwarẹn	avwárẹn	us	pron.	ukere_1986	False	True	False
avwebọ	Avwebọ	Favorite  person	n.	okrokoto_2020	False	True	False
avwebọ	ávwebọ	favourite (e.g. wife)	n.	ukere_1986	False	True	False
avwerhe	avwerhe	sweetness	n.	ukere_1986	False	True	False
avwiana	avwiana	flag	n.	ukere_1986	False	True	False
avwikpe	ávwíkpe	charm for postponing evil days such as death	n.	ukere_1986	False	True	False
avwiorọvwe	ávwiórọvwe	wife always treated with disdain by the husband	n.	ukere_1986	False	True	False
avworo	ávworo	rainbow	n.	ukere_1986	False	True	False
avwre	avwré	gill	n.	ukere_1986	False	True	False
avwro	avwro	argument / Argument ; Expression  of  a  second  opinion.	n.	okrokoto_2020,ukere_1986	True	False	True
awa	awa	hour	n.	ukere_1986	False	True	False
awanre	Awanre	Ancient	n.	okrokoto_2020	False	True	False
aware	aware	ancient	n.	ukere_1986	False	True	False
awusa	áwúsá	Urhobo name for the Hausa people and their language	n.	ukere_1986	False	True	False
ayarọ	ayarọ	basket used by women in fishing	n.	ukere_1986	False	True	False
ayar	Ayar	Fish   trapping   basket	n.	okrokoto_2020	False	True	False
aye	ayé	they / them [Curriculum: pronoun]	pron.	curriculum_seed,okrokoto_2020,ucla_phonetics,ukere_1986	True	False	True
aye	ayé	woman / wife [Curriculum: object]	n.	curriculum_seed,okrokoto_2020,ucla_phonetics,ukere_1986	True	False	True
ayen	ayen	they	pron.	ukere_1986	False	True	False
ayen	áyen	them	pron.	ukere_1986	False	True	False
ayerorọvwe	ayerórọvwe	Mrs.	n.	ukere_1986	False	True	False
ayeruwevwi	ayerúwevwi	housewife	n.	ukere_1986	False	True	False
ayevevu	ayevevu	pregnant woman	n.	ukere_1986	False	True	False
ayọni	ayọni	pressing iron	n.	ukere_1986	False	True	False
azagba	Azagba	Presence  of  everyone;  un- hidden  ;	n.	okrokoto_2020	False	True	False
azagba	azagba	public place	n.	ukere_1986	False	True	False
aziza	aziza	spirit roaming in the forest which gives rise to whirlwind	n.	ukere_1986	False	True	False
aŋ͡ma	àŋ͡má	cloth	n.	ucla_phonetics_1960	False	True	False
b	B	Letter B / sound /b/ [Curriculum: alphabet]	phr.	curriculum_seed	False	False	True
ba	bá	be loose (of a baby carried on the back)	v.t	ukere_1986	False	True	False
baba	Baba	Father	n.	okrokoto_2020	False	True	False
beroma	Beroma	Lament  in  despair	n.	okrokoto_2020	False	True	False
bi	bi	push	v.t	ukere_1986	False	True	False
bi	bi	to row	n.	ucla_phonetics	False	True	False
bibi	bibi	grope, roam aimlessly	v.i	ukere_1986	False	True	False
biebi	biebí	black / Black	a.	okrokoto_2020,ukere_1986	False	True	False
biko	biko	please / Please   ;   I  beg  you	v.i	okrokoto_2020,ukere_1986	True	False	True
bio	Bio	Push	n.	okrokoto_2020	False	True	False
bioma	bioma	make way for / Excuse  me  ; get  out  of  my  way	v.i	okrokoto_2020,ukere_1986	True	False	True
bitoboyi	Bitoboyi	Dress  there ;Excuse  me ; move there	n.	okrokoto_2020	False	True	False
bo	bo	crow	v.i	ukere_1986	False	True	False
bo	bo	swim (of fish)	v.i	ukere_1986	False	True	False
bov	Bov	Where ?	n.	okrokoto_2020	False	True	False
bra	Bra	Bad	n.	okrokoto_2020	False	True	False
brabra	brabra	bad / Very  bad	a.	okrokoto_2020,ukere_1986	True	False	True
branama	Branama	Display  style  ;   Proud  ;  Show  off.	n.	okrokoto_2020	False	True	False
brigho	Brigho	How  much  is  the  price  tag ?	n.	okrokoto_2020	False	True	False
brisẹ	Brisẹ	Add  a “Proverb” ; Clarify with a proverb.	n.	okrokoto_2020	False	True	False
bro	Bro	Cut  it.	n.	okrokoto_2020	False	True	False
bro	bró	how many? / how much? / How  many ?	int.	okrokoto_2020,ukere_1986	True	False	True
broma	Broma	Hurry  up ;  Walk  fast.	n.	okrokoto_2020	False	True	False
bruche	brúche	advise / Advise	v.t	okrokoto_2020,ukere_1986	False	True	False
brudu	brúdú	worry (about/over something) / Worry	v.i	okrokoto_2020,ukere_1986	False	True	False
brẹdẹ	Brẹdẹ	Make   an  appointment  date.	n.	okrokoto_2020	False	True	False
bu	bu	be plentiful	v.i	ukere_1986	False	True	False
bubu	búbú	awkward, clumsy	a.	ukere_1986	False	True	False
bue	bue	scrape	v.t	ukere_1986	False	True	False
buebu	buebu	Many ;  Plenty  ;  a  lot. / plenty	n.	grammar_basic_course,okrokoto_2020	True	False	True
bẹdẹ	bẹdẹ	never	adv.	ukere_1986	False	True	False
bẹdẹbẹdẹ	bẹdẹbẹdẹ	forever, continuously (of time)	adv.	ukere_1986	False	True	False
bẹnẹ	bẹnẹ	romance / Romance	v.t	okrokoto_2020,ukere_1986	True	False	True
bẹre	Bẹre	Tear	n.	okrokoto_2020	False	True	False
bẹrẹ	bẹrẹ́	tear	v.t	ukere_1986	False	True	False
bẹsiẹye	bẹsiẹye	until / Until  then ; Until  that  time	conj.	okrokoto_2020,ukere_1986	True	False	True
bọ	bọ	build / Build	v.t	okrokoto_2020,ukere_1986	True	False	True
bọrọ	bọrọ	comfort	v.t	ukere_1986	False	True	False
bọrọbọrọ	bọrọbọrọ	warm	a.	ukere_1986	False	True	False
ch	CH	Digraph CH / sound /tʃ/ [Curriculum: alphabet]	phr.	curriculum_seed	False	False	True
cha	Cha	Coming  e.g. Mẽ   cha = I am  coming.	n.	okrokoto_2020	False	True	False
cha	chá	support/aid / Support ; Add  to  it  ;  augment.	v.t	okrokoto_2020,ukere_1986	True	False	True
charha	charha	umbrella	n.	ukere_1986	False	True	False
chavwọ	chavwọ	screw	v.t	ukere_1986	False	True	False
chere	chere	cook / Cook	v.t	okrokoto_2020,ukere_1986	True	False	True
chere emu kpata kpata.	Chére emú kpata kpata.	Cook food quickly. [Curriculum: phrase_corpus]	phr.	curriculum_seed	False	False	True
chirako	Chirako	Endure	n.	okrokoto_2020	False	True	False
chiyi	chiyi	tread (on something)	v.t	ukere_1986	False	True	False
cho	cho	steal / Steal	v.t	okrokoto_2020,ukere_1986	True	False	True
choja	Choja	Avenge  a  long  time  grudge.	n.	okrokoto_2020	False	True	False
choma	choma	Be  prepared  ;  Get   ready. / be  prepared	n.	grammar_basic_course,okrokoto_2020	True	False	True
chuji	Chuji	Steal	n.	okrokoto_2020	False	True	False
chuko	chúko	help / Help ; Lend  a  hand ; Support.	v.t	okrokoto_2020,ukere_1986	False	True	False
churo	Churo	Tie  it	n.	okrokoto_2020	False	True	False
d	D	Letter D / sound /d/ [Curriculum: alphabet]	phr.	curriculum_seed	False	False	True
da	da	Drink / drink	n.	grammar_basic_course,okrokoto_2020	True	False	True
dada	dádá	sharp	a.	ukere_1986	False	True	False
dame	Dame	Drink  water	n.	okrokoto_2020	False	True	False
davwe	Davwe	Try   ;  Test	n.	okrokoto_2020	False	True	False
davw	Davw	Test  it ; Try    it.	n.	okrokoto_2020	False	True	False
